Date,TCh 2018,TCh 2019
12/1/2018,90,67
12/2/2018,99,71
12/3/2018,102,117
12/4/2018,125,104
12/5/2018,91,100
12/6/2018,64,99
12/7/2018,58,86
12/8/2018,55,60
12/9/2018,87,62
12/10/2018,71,117
12/11/2018,119,118
12/12/2018,88,119
12/13/2018,56,107
12/14/2018,60,39
12/15/2018,117,70
12/16/2018,90,73
12/17/2018,96,113
12/18/2018,114,109
12/19/2018,112,105
12/20/2018,90,82
12/21/2018,89,90
12/22/2018,141,49
12/23/2018,118,40
12/24/2018,135,27
12/25/2018,120,46
12/26/2018,107,82
12/27/2018,85,75
12/28/2018,87,79
12/29/2018,117,63
12/30/2018,136,56
12/31/2018,134,40
1/1/2019,135,47
1/2/2019,120,103
1/3/2019,112,123
1/4/2019,75,100
1/5/2019,112,79
1/6/2019,141,66
1/7/2019,142,122
1/8/2019,97,108
1/9/2019,106,110
1/10/2019,78,109
1/11/2019,90,109
1/12/2019,73,86
1/13/2019,120,59
1/14/2019,113,86
1/15/2019,133,126
1/16/2019,107,102
1/17/2019,61,123
1/18/2019,70,87
1/19/2019,116,95
1/20/2019,128,44
1/21/2019,120,105
1/22/2019,120,108
1/23/2019,108,99
1/24/2019,62,132
1/25/2019,75,183
1/26/2019,71,126
1/27/2019,102,117
1/28/2019,114,158
1/29/2019,101,158
1/30/2019,119,162
1/31/2019,106,176
2/1/2019,72,136
2/2/2019,94,81
2/3/2019,103,64
2/4/2019,118,145
2/5/2019,107,160
2/6/2019,92,165
2/7/2019,69,168
2/8/2019,83,146
2/9/2019,126,120
2/10/2019,123,90
2/11/2019,131,166
2/12/2019,122,172
2/13/2019,109,158
2/14/2019,70,138
2/15/2019,61,153
2/16/2019,93,133
2/17/2019,114,109
2/18/2019,100,193
2/19/2019,99,190
2/20/2019,77,175
2/21/2019,60,165
2/22/2019,56,174
2/23/2019,92,144
2/24/2019,95,123
2/25/2019,92,159
2/26/2019,42,189
2/27/2019,88,180
2/28/2019,61,192
3/1/2019,63,155
3/2/2019,102,138
3/3/2019,110,159
3/4/2019,103,152
3/5/2019,119,175
3/6/2019,84,149
3/7/2019,71,160
3/8/2019,117,162
3/9/2019,104,126
3/10/2019,100,116
3/11/2019,99,174
3/12/2019,86,162
3/13/2019,60,162
3/14/2019,62,179
3/15/2019,117,148
3/16/2019,118,134
3/17/2019,119,119
3/18/2019,107,174
3/19/2019,39,165
3/20/2019,70,172
3/21/2019,73,159
3/22/2019,113,160
3/23/2019,109,124
3/24/2019,105,102
3/25/2019,82,148
3/26/2019,90,166
3/27/2019,49,187
3/28/2019,40,207
3/29/2019,27,161
3/30/2019,46,139
3/31/2019,82,120
4/1/2019,75,196
4/2/2019,79,182
4/3/2019,63,205
4/4/2019,56,203
4/5/2019,40,174
4/6/2019,47,128
4/7/2019,103,118
4/8/2019,123,216
4/9/2019,100,170
4/10/2019,79,209
4/11/2019,66,197
4/12/2019,122,156
4/13/2019,108,129
4/14/2019,110,125
4/15/2019,109,163
4/16/2019,109,178
4/17/2019,86,198
4/18/2019,59,187
4/19/2019,86,152
4/20/2019,126,123
4/21/2019,102,77
4/22/2019,123,181
4/23/2019,87,198
4/24/2019,95,181
4/25/2019,44,194
4/26/2019,105,166
4/27/2019,108,154
4/28/2019,99,138
4/29/2019,132,189
4/30/2019,183,183
5/1/2019,126,234
5/2/2019,117,178
5/3/2019,158,199
5/4/2019,158,148
5/5/2019,162,115
5/6/2019,176,208
5/7/2019,136,211
5/8/2019,81,195
5/9/2019,64,156
5/10/2019,145,152
5/11/2019,160,119
5/12/2019,165,122
5/13/2019,168,190
5/14/2019,146,204
5/15/2019,120,191
5/16/2019,90,195
5/17/2019,166,143
5/18/2019,172,110
5/19/2019,158,126
5/20/2019,138,226
5/21/2019,153,192
5/22/2019,133,195
5/23/2019,109,197
5/24/2019,193,183
5/25/2019,190,125
5/26/2019,175,83
5/27/2019,165,147
5/28/2019,174,189
5/29/2019,144,206
5/30/2019,123,198
5/31/2019,159,162
6/1/2019,189,114
6/2/2019,180,96
6/3/2019,192,141
6/4/2019,155,154
6/5/2019,138,162
6/6/2019,159,152
6/7/2019,152,149
6/8/2019,175,125
6/9/2019,149,101
6/10/2019,160,192
6/11/2019,162,193
6/12/2019,126,230
6/13/2019,116,178
6/14/2019,174,197
6/15/2019,162,118
6/16/2019,162,119
6/17/2019,179,175
6/18/2019,148,211
6/19/2019,134,172
6/20/2019,119,172
6/21/2019,174,173
6/22/2019,165,84
6/23/2019,172,86
6/24/2019,159,165
6/25/2019,160,165
6/26/2019,124,173
6/27/2019,102,137
6/28/2019,148,146
6/29/2019,166,92
6/30/2019,187,76
7/1/2019,207,163
7/2/2019,161,153
7/3/2019,139,160
7/4/2019,120,108
7/5/2019,196,144
7/6/2019,182,118
7/7/2019,205,132
7/8/2019,203,192
7/9/2019,174,205
7/10/2019,128,195
7/11/2019,118,183
7/12/2019,216,160
7/13/2019,170,106
7/14/2019,209,93
7/15/2019,197,198
7/16/2019,156,204
7/17/2019,129,214
7/18/2019,125,187
7/19/2019,163,157
7/20/2019,178,126
7/21/2019,198,98
7/22/2019,187,187
7/23/2019,152,203
7/24/2019,123,180
7/25/2019,77,138
7/26/2019,181,135
7/27/2019,198,96
7/28/2019,181,89
7/29/2019,194,136
7/30/2019,166,161
7/31/2019,154,188
8/1/2019,138,164
8/2/2019,189,154
8/3/2019,183,132
8/4/2019,234,127
8/5/2019,178,185
8/6/2019,199,182
8/7/2019,148,15
8/8/2019,115,174
8/9/2019,208,148
8/10/2019,211,130
8/11/2019,195,136
8/12/2019,156,180
8/13/2019,152,178
8/14/2019,119,223
8/15/2019,122,171
8/16/2019,190,206
8/17/2019,204,142
8/18/2019,191,132
